X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,Class output
74.66193182,74.01278409,72.29119318,24.07509381,23.95939051,23.60124784,-2.522042996,-2.481841615,-2.396677164,8.227433971,8.112559618,7.869242232,4.4983165,4.57094377,4.627242858,101,101,101,0,0.833806818,0.026988636,0.007102273,0.008522727,0.0625,0.012784091,0.009943182,0.012784091,0.029829545,0.021306818,0.015625,0.026988636,0.022727273,0.034090909,0.029829545,0.022727273,0.024147727,0.025568182,0.026988636,0.028409091,0.029829545,0.03125,0.034090909,0.034090909,0.035511364,0.036931818,0.038352273,0.039772727,0.041193182,0.042613636,0.049715909,0.051136364,0.048295455,0.048295455,0.049715909,0.051136364,0.052556818,0.055397727,0.055397727,0.056818182,0.058238636,0.059659091,0.061079545,0.0625,0.063920455,0.065340909,0.066761364,0.068181818,0.069602273,0.071022727,0.072443182,0.073863636,0.075284091,0.076704545,0.078125,0.079545455,0.080965909,0.082386364,0.018465909,0.752840909,0.008522727,0.004261364,0.005681818,0.008522727,0.008522727,0.03125,0.011363636,0.012784091,0.014204545,0.015625,0.035511364,0.022727273,0.051136364,0.021306818,0.024147727,0.024147727,0.028409091,0.029829545,0.029829545,0.029829545,0.03125,0.079545455,0.038352273,0.049715909,0.039772727,0.038352273,0.039772727,0.041193182,0.042613636,0.046875,0.045454545,0.046875,0.048295455,0.049715909,0.051136364,0.069602273,0.082386364,0.055397727,0.058238636,0.058238636,0.059659091,0.066761364,0.071022727,0.063920455,0.066761364,0.066761364,0.068181818,0.071022727,0.071022727,0.072443182,0.073863636,0.076704545,0.076704545,0.079545455,0.080965909,0.080965909,0.082386364,0.017874858,154.1160714,0.001664697,6.660181845,0.016207076,194.6419355,0.001742707,6.739920884,0.021800638,83.91788856,0.001705197,6.493694771,0.018397786,140.8294931,0.001750055,6.755262403,0
101.9285714,101.6666667,100.8571429,0.506757063,0.471404521,0.638876565,-0.123216576,-0.707106781,0.134164079,3.782334108,1.5,2.39,1.07728004,0.918295834,1.378783493,2,1,2,0,1.023809524,0.047619048,0.071428571,0.095238095,0.119047619,0.142857143,0.166666667,0.19047619,0.214285714,0.238095238,0.261904762,0.285714286,0.30952381,0.333333333,0.357142857,0.380952381,0.404761905,0.428571429,0.452380952,0.476190476,0.5,0.523809524,0.547619048,0.571428571,0.595238095,0.619047619,0.642857143,0.666666667,0.69047619,0.714285714,0.738095238,0.761904762,0.785714286,0.80952381,0.833333333,0.857142857,0.880952381,0.904761905,0.928571429,0.952380952,0.976190476,1,1.023809524,1.047619048,1.071428571,1.095238095,1.119047619,1.142857143,1.166666667,1.19047619,1.214285714,1.238095238,1.261904762,1.285714286,1.30952381,1.333333333,1.357142857,1.380952381,0,0.5,0.047619048,0.071428571,0.095238095,0.119047619,0.142857143,0.285714286,0.19047619,0.214285714,0.238095238,0.261904762,0.285714286,0.30952381,0.428571429,0.357142857,0.404761905,0.404761905,0.428571429,0.452380952,0.476190476,0.5,0.523809524,0.547619048,0.571428571,0.714285714,0.619047619,0.666666667,0.666666667,0.69047619,0.714285714,0.738095238,0.761904762,0.785714286,0.80952381,0.833333333,0.857142857,0.880952381,1,0.928571429,0.976190476,0.976190476,1,1.023809524,1.047619048,1.071428571,1.095238095,1.119047619,1.142857143,1.19047619,1.19047619,1.214285714,1.238095238,1.261904762,1.285714286,1.30952381,1.333333333,1.357142857,1.380952381,0.450617284,0.166666667,3.306122449,1.347223039,0.5648,0.32,-100,0.904381457,0.474285714,0.114285714,3.624260355,1.282516713,0.455555556,0.166666667,2.922077922,1.474381086,0
55.93240741,57.83148148,58.95462963,26.56825706,27.43519856,27.94784787,-1.516184806,-1.526368557,-1.532302182,3.6006293,3.613449174,3.620366006,4.302572299,4.287269276,4.286349797,87,90,91,0.000925926,0.900925926,0.003703704,0.002777778,0.003703704,0.015740741,0.005555556,0.006481481,0.008333333,0.013888889,0.017592593,0.010185185,0.030555556,0.014814815,0.019444444,0.018518519,0.014814815,0.016666667,0.021296296,0.018518519,0.018518519,0.019444444,0.02037037,0.035185185,0.022222222,0.024074074,0.024074074,0.025,0.025925926,0.026851852,0.027777778,0.028703704,0.02962963,0.030555556,0.031481481,0.032407407,0.033333333,0.040740741,0.036111111,0.036111111,0.037037037,0.037962963,0.038888889,0.042592593,0.047222222,0.041666667,0.042592593,0.043518519,0.044444444,0.04537037,0.046296296,0.047222222,0.048148148,0.049074074,0.05,0.050925926,0.051851852,0.052777778,0.053703704,0.012962963,0.839814815,0.016666667,0.003703704,0.008333333,0.02037037,0.005555556,0.016666667,0.007407407,0.014814815,0.012037037,0.010185185,0.012037037,0.012037037,0.025925926,0.02037037,0.015740741,0.015740741,0.016666667,0.017592593,0.018518519,0.019444444,0.02037037,0.030555556,0.023148148,0.032407407,0.024074074,0.025925926,0.025925926,0.026851852,0.027777778,0.02962963,0.030555556,0.030555556,0.031481481,0.032407407,0.033333333,0.039814815,0.062962963,0.036111111,0.037962963,0.037962963,0.039814815,0.047222222,0.046296296,0.041666667,0.042592593,0.043518519,0.044444444,0.046296296,0.046296296,0.047222222,0.048148148,0.049074074,0.05,0.050925926,0.051851852,0.052777778,0.053703704,0.034583771,144.6376812,0.001265877,6.210531512,0.027482754,229.4256198,0.001266006,6.363916497,0.038687658,85.12689394,0.001310048,6.025354614,0.034118249,59.34387352,0.001399947,6.284017538,0
87,90,91,0,0,0,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1.0625,0.125,0.1875,0.25,0.3125,0.375,0.4375,0.5,0.5625,0.625,0.6875,0.75,0.8125,0.875,0.9375,1,1.0625,1.125,1.1875,1.25,1.3125,1.375,1.4375,1.5,1.5625,1.625,1.6875,1.75,1.8125,1.875,1.9375,2,2.0625,2.125,2.1875,2.25,2.3125,2.375,2.4375,2.5,2.5625,2.625,2.6875,2.75,2.8125,2.875,2.9375,3,3.0625,3.125,3.1875,3.25,3.3125,3.375,3.4375,3.5,3.5625,3.625,0,0.3125,0.125,0.1875,0.25,0.3125,0.375,0.5625,0.5,0.5625,0.625,0.6875,0.75,0.8125,1,0.9375,1.0625,1.0625,1.125,1.1875,1.25,1.3125,1.375,1.4375,1.5,1.6875,1.625,1.75,1.75,1.8125,1.875,1.9375,2,2.0625,2.125,2.1875,2.25,2.3125,2.5,2.4375,2.5625,2.5625,2.625,2.6875,2.75,2.8125,2.875,2.9375,3,3.125,3.125,3.1875,3.25,3.3125,3.375,3.4375,3.5,3.5625,3.625,1,0,-100,-1.44E-10,1,0,-100,-1.44E-10,1,0,-100,-1.44E-10,1,0,-100,-1.44E-10,0
68.38363636,69.47090909,71.07272727,21.57178514,21.9904539,22.57589587,-2.714635582,-2.679278875,-2.644298455,8.852299469,8.737758218,8.624351357,4.031718288,4.121009768,4.34479601,87,89,94,0,0.887272727,0.032727273,0.007272727,0.010909091,0.012727273,0.012727273,0.012727273,0.014545455,0.018181818,0.018181818,0.021818182,0.047272727,0.029090909,0.027272727,0.027272727,0.029090909,0.030909091,0.04,0.038181818,0.038181818,0.038181818,0.04,0.043636364,0.043636364,0.050909091,0.049090909,0.052727273,0.050909091,0.052727273,0.054545455,0.058181818,0.067272727,0.061818182,0.061818182,0.063636364,0.065454545,0.067272727,0.069090909,0.070909091,0.072727273,0.074545455,0.076363636,0.078181818,0.08,0.081818182,0.083636364,0.085454545,0.087272727,0.089090909,0.090909091,0.092727273,0.094545455,0.096363636,0.098181818,0.1,0.101818182,0.103636364,0.105454545,0.014545455,0.785454545,0.027272727,0.005454545,0.010909091,0.009090909,0.010909091,0.043636364,0.014545455,0.016363636,0.018181818,0.02,0.047272727,0.025454545,0.047272727,0.027272727,0.030909091,0.030909091,0.032727273,0.041818182,0.038181818,0.038181818,0.04,0.045454545,0.043636364,0.070909091,0.050909091,0.050909091,0.050909091,0.052727273,0.054545455,0.06,0.06,0.065454545,0.061818182,0.063636364,0.065454545,0.067272727,0.092727273,0.076363636,0.074545455,0.074545455,0.076363636,0.08,0.081818182,0.081818182,0.083636364,0.085454545,0.089090909,0.090909091,0.090909091,0.092727273,0.094545455,0.096363636,0.098181818,0.1,0.101818182,0.103636364,0.105454545,0.024362948,131.844697,0.001924134,6.119123105,0.02236282,73.03519669,0.002486563,6.084604595,0.021554649,156.0152381,0.001893174,6.21861704,0.015880889,261.3492063,0.001684918,6.56290207,0
72.57054871,71.79395297,69.84994401,29.44676152,29.16213485,28.38877616,-1.918162331,-1.908095383,-1.899539184,5.073350354,5.058035783,5.055052458,4.573016625,4.614721561,4.519386173,99,100,99,0,0.90537514,0.033594625,0.001679731,0.002799552,0.002799552,0.003359462,0.003919373,0.004479283,0.005039194,0.005599104,0.006159015,0.012318029,0.008958567,0.009518477,0.008398656,0.008958567,0.009518477,0.010638298,0.012318029,0.012318029,0.011758119,0.012318029,0.022396417,0.01399776,0.015117581,0.015117581,0.015117581,0.015677492,0.016237402,0.016797312,0.025755879,0.021276596,0.019036954,0.019036954,0.019596865,0.020156775,0.022956327,0.035274356,0.024636058,0.022396417,0.022956327,0.023516237,0.029675252,0.025195969,0.025195969,0.025755879,0.026315789,0.02743561,0.02743561,0.027995521,0.028555431,0.029115342,0.029675252,0.030235162,0.030795073,0.031354983,0.031914894,0.032474804,0.008398656,0.854983203,0.007838746,0.001679731,0.003359462,0.01287794,0.003359462,0.01287794,0.004479283,0.006159015,0.011198208,0.007278835,0.037513998,0.014557671,0.028555431,0.009518477,0.008958567,0.009518477,0.010638298,0.01343785,0.014557671,0.011758119,0.012318029,0.01343785,0.01343785,0.028555431,0.014557671,0.016237402,0.015677492,0.016237402,0.016797312,0.019596865,0.019596865,0.019036954,0.019036954,0.019596865,0.020156775,0.021276596,0.033594625,0.022396417,0.023516237,0.022956327,0.023516237,0.024076148,0.024636058,0.025195969,0.025755879,0.026315789,0.0268757,0.027995521,0.027995521,0.028555431,0.029115342,0.029675252,0.030235162,0.030795073,0.031354983,0.031914894,0.032474804,0.021960431,139.9798735,0.0011235,6.82121195,0.018732205,132.2554348,0.001256693,6.860582315,0.026743215,118.7517162,0.001133599,6.325688727,0.019054102,179.9383079,0.001128881,7.095664535,0
144.8666667,142.7703704,152.5851852,54.1043006,53.6158309,57.84283937,-2.207385943,-2.160552197,-2.087405546,6.130723439,6.006345586,5.79731243,4.91378514,5.197167233,5.393535757,181,182,196,0.003174603,0.75026455,0.022222222,0.004232804,0.007407407,0.031746032,0.011640212,0.017989418,0.011640212,0.026455026,0.017989418,0.019047619,0.031746032,0.021164021,0.043386243,0.024338624,0.016931217,0.017989418,0.02010582,0.02010582,0.021164021,0.022222222,0.023280423,0.04021164,0.025396825,0.027513228,0.027513228,0.028571429,0.02962963,0.030687831,0.032804233,0.046560847,0.041269841,0.037037037,0.037037037,0.037037037,0.038095238,0.043386243,0.053968254,0.062433862,0.042328042,0.043386243,0.044444444,0.045502646,0.046560847,0.047619048,0.048677249,0.04973545,0.050793651,0.051851852,0.052910053,0.053968254,0.055026455,0.056084656,0.057142857,0.058201058,0.059259259,0.06031746,0.061375661,0.005291005,0.668783069,0.02010582,0.003174603,0.005291005,0.022222222,0.006349206,0.030687831,0.00952381,0.013756614,0.010582011,0.012698413,0.033862434,0.027513228,0.043386243,0.015873016,0.017989418,0.017989418,0.022222222,0.028571429,0.041269841,0.022222222,0.023280423,0.050793651,0.02962963,0.041269841,0.030687831,0.02962963,0.02962963,0.030687831,0.031746032,0.039153439,0.033862434,0.034920635,0.035978836,0.037037037,0.038095238,0.056084656,0.099470899,0.041269841,0.045502646,0.043386243,0.044444444,0.053968254,0.055026455,0.047619048,0.048677249,0.04973545,0.058201058,0.056084656,0.052910053,0.053968254,0.055026455,0.056084656,0.057142857,0.058201058,0.059259259,0.06031746,0.062433862,0.014348509,498.5989011,0.000324126,7.687479612,0.010552249,372.6,0.000384336,7.921750751,0.01631139,328.8888889,0.000337448,7.250324461,0.011621896,789.4072398,0.000325882,7.821147966,0
182.5796703,182.6410256,184.1639194,23.38121856,26.45009265,30.0900002,0.144910754,0.137440171,0.164901134,1.53766825,1.49664594,1.506968641,5.645198462,5.775093379,5.85133473,92,102,119,0.010989011,0.673076923,0.02014652,0.004578755,0.02014652,0.043040293,0.047619048,0.096153846,0.010989011,0.019230769,0.021978022,0.021062271,0.016483516,0.013736264,0.021062271,0.018315018,0.015567766,0.016483516,0.019230769,0.017399267,0.018315018,0.019230769,0.02014652,0.03021978,0.029304029,0.038461538,0.026556777,0.024725275,0.025641026,0.026556777,0.027472527,0.029304029,0.03021978,0.035714286,0.031135531,0.032051282,0.032967033,0.033882784,0.036630037,0.035714286,0.037545788,0.037545788,0.038461538,0.039377289,0.04029304,0.041208791,0.042124542,0.043040293,0.044871795,0.045787546,0.045787546,0.046703297,0.047619048,0.048534799,0.049450549,0.0503663,0.051282051,0.052197802,0.053113553,0.009157509,0.564102564,0.008241758,0.004578755,0.005494505,0.013736264,0.011904762,0.052197802,0.007326007,0.009157509,0.009157509,0.010989011,0.032967033,0.012820513,0.034798535,0.013736264,0.016483516,0.017399267,0.03021978,0.018315018,0.018315018,0.019230769,0.02014652,0.06959707,0.055860806,0.138278388,0.031135531,0.028388278,0.025641026,0.026556777,0.027472527,0.029304029,0.03021978,0.032051282,0.031135531,0.032051282,0.032967033,0.043040293,0.06043956,0.035714286,0.038461538,0.037545788,0.038461538,0.0503663,0.052197802,0.041208791,0.042124542,0.043040293,0.05952381,0.046703297,0.045787546,0.048534799,0.047619048,0.048534799,0.049450549,0.0503663,0.051282051,0.052197802,0.053113553,0.008995704,8.109022556,0.001483783,7.723948313,0.005914824,42.39239239,0.001481377,8.166664314,0.007060729,29.90218424,0.001479458,7.9561748,0.006013246,27.97076023,0.001488901,8.127288121,0
147.8009229,142.5075808,131.6723797,22.35009211,22.04826555,23.13581141,-5.064161975,-4.732275197,-3.484007671,33.05436822,30.22913035,18.89902932,5.052228358,5.155687245,5.503696517,172,168,162,0.000659196,0.859591299,0.001318392,0.001977587,0.002636783,0.006591958,0.003955175,0.00461437,0.005273566,0.007910349,0.006591958,0.007251154,0.033618985,0.009887937,0.013183916,0.009887937,0.010547132,0.01252472,0.040870138,0.022412657,0.013183916,0.013843111,0.014502307,0.015820699,0.016479895,0.073170732,0.023071852,0.017798286,0.018457482,0.019116678,0.019775873,0.020435069,0.021094265,0.021753461,0.022412657,0.023071852,0.023731048,0.024390244,0.02504944,0.025708635,0.026367831,0.027027027,0.027686223,0.028345419,0.029004614,0.02966381,0.030323006,0.030982202,0.031641397,0.032300593,0.032959789,0.033618985,0.034278181,0.034937376,0.035596572,0.036255768,0.036914964,0.03757416,0.038233355,0.002636783,0.774555043,0.026367831,0.001977587,0.028345419,0.003295979,0.003955175,0.079103494,0.005273566,0.005932762,0.006591958,0.007251154,0.007910349,0.008569545,0.032959789,0.009887937,0.01252472,0.011206328,0.011865524,0.01252472,0.013183916,0.013843111,0.014502307,0.020435069,0.015820699,0.036255768,0.01713909,0.018457482,0.018457482,0.019116678,0.019775873,0.021753461,0.02966381,0.029004614,0.022412657,0.023071852,0.023731048,0.02504944,0.048121292,0.029004614,0.027027027,0.027027027,0.027686223,0.028345419,0.029004614,0.02966381,0.030323006,0.030982202,0.031641397,0.034278181,0.032959789,0.033618985,0.034278181,0.034937376,0.035596572,0.036255768,0.036914964,0.03757416,0.038233355,0.015479836,35.66802168,0.002077147,6.826125028,0.010933673,26.83571429,0.002328001,7.301845643,0.012420562,61.20135135,0.002178123,7.152055412,0.010601852,99.28611111,0.002263344,7.350968054,0
200.548906,202.536036,206.4227799,49.03197275,49.57547242,50.91591747,-3.449069935,-3.439863933,-3.378310678,14.28834688,14.22641325,13.83100222,5.658792311,5.653384967,5.683155642,235,237,242,0.001287001,0.879021879,0.025740026,0.003217503,0.01029601,0.011583012,0.005148005,0.017374517,0.005148005,0.005791506,0.006435006,0.007078507,0.007722008,0.008365508,0.009009009,0.00965251,0.01029601,0.010939511,0.011583012,0.012226512,0.012870013,0.013513514,0.014157014,0.017374517,0.015444015,0.016087516,0.016731017,0.017374517,0.018018018,0.018661519,0.019305019,0.027027027,0.043114543,0.028957529,0.021879022,0.022522523,0.023166023,0.025740026,0.028957529,0.03989704,0.028957529,0.026383526,0.027027027,0.027670528,0.028314028,0.028957529,0.02960103,0.03024453,0.030888031,0.031531532,0.032175032,0.032818533,0.033462033,0.034105534,0.034749035,0.035392535,0.036036036,0.036679537,0.037323037,0.000643501,0.796653797,0.001287001,0.001930502,0.002574003,0.006435006,0.003861004,0.026383526,0.005148005,0.006435006,0.006435006,0.007722008,0.036036036,0.016087516,0.027670528,0.00965251,0.010939511,0.011583012,0.020592021,0.027027027,0.034749035,0.013513514,0.014157014,0.022522523,0.016731017,0.039253539,0.03024453,0.01994852,0.018018018,0.018661519,0.019305019,0.01994852,0.020592021,0.021235521,0.021879022,0.022522523,0.023166023,0.023809524,0.04954955,0.025096525,0.026383526,0.026383526,0.027027027,0.027670528,0.028957529,0.028957529,0.02960103,0.03024453,0.030888031,0.032175032,0.032175032,0.032818533,0.033462033,0.034105534,0.034749035,0.035392535,0.036036036,0.036679537,0.037323037,0.009156029,177.7671958,0.000411904,7.619250209,0.006778764,35.50034843,0.000507682,7.94940361,0.009661107,173.4555043,0.000414317,7.507305391,0.008004311,417.6673442,0.000416993,7.74213387,0
